IDLink,LinkedIn
80690.0,0
81052.0,0
80994.0,0
311.0,0
252.0,0
227.0,0
307.0,0
207.0,1
203.0,29
299.0,6
294.0,2
209.0,1
292.0,27
272.0,0
328.0,11
232.0,0
587.0,89
201.0,61
476.0,4
240.0,0
15.0,127
16.0,8
25.0,31
28.0,2
33.0,11
38.0,20
39.0,5
42.0,88
64.0,177
74.0,10
75.0,9
81.0,3
87.0,129
116.0,49
119.0,54
125.0,151
127.0,0
132.0,11
135.0,15
147.0,4
149.0,0
449.0,31
464.0,1431
499.0,9
521.0,35
556.0,6
562.0,3
563.0,0
564.0,0
584.0,0
715.0,11
390.0,0
241.0,0
502.0,0
92.0,28
100.0,18
236.0,0
214.0,3
202.0,146
208.0,0
83.0,0
128.0,2
302.0,0
306.0,61
433.0,14
450.0,61
124.0,6
153.0,6
308.0,16
204.0,0
43.0,20
89.0,46
300.0,18
30.0,12
40.0,0
46.0,12
58.0,96
63.0,6
71.0,2
243.0,0
44.0,7
225.0,6
280.0,0
3.0,98
5.0,34
77.0,54
62.0,5
88.0,5
866.0,22
353.0,5
4.0,7
451.0,0
53.0,0
56.0,0
90.0,9
120.0,2
122.0,14
138.0,0
165.0,2
301.0,0
420.0,1
9.0,13
13.0,24
34.0,0
452.0,22
52.0,1
85.0,1
414.0,4
443.0,4
407.0,4
539.0,110
47.0,5
112.0,29
139.0,1
568.0,0
314.0,6
484.0,3
27.0,0
36.0,148
103.0,263
104.0,13
105.0,316
148.0,1
151.0,0
830.0,16
418.0,304
607.0,2
475.0,16
10.0,169
11.0,2
66.0,0
435.0,2
82.0,3281
113.0,0
405.0,0
444.0,1
410.0,1
8.0,0
12.0,14
17.0,1
21.0,2
35.0,61
68.0,4
118.0,1
129.0,0
415.0,0
569.0,0
515.0,0
400.0,1
18.0,12
22.0,2
32.0,135
55.0,0
98.0,2
106.0,185
108.0,8
114.0,4
126.0,0
462.0,7
398.0,11
628.0,138
6.0,133
29.0,0
65.0,4
91.0,47
102.0,58
109.0,66
123.0,7
142.0,0
729.0,3
508.0,0
490.0,25
26.0,4
412.0,10
480.0,0
110.0,8
446.0,1
49.0,7
144.0,1
471.0,2
440.0,156
493.0,3
14.0,0
20.0,19
478.0,1
73.0,1
643.0,0
565.0,0
497.0,1
495.0,18
498.0,7
1.0,13
2.0,42
19.0,661
24.0,95
48.0,8
84.0,8
111.0,6
115.0,3
117.0,7
130.0,4
510.0,0
7.0,13
37.0,119
41.0,2
45.0,0
